================================================================================================
DAILY-MEAN CONTRACT CHECK — D+1, thresholds: {"pm25": {"r2": 0.7, "rmse": 20.0}, "no2": {"r2": 0.7, "rmse": 20.0}, "o3": {"r2": 0.7, "rmse": 20.0}, "so2": {"r2": 0.7, "rmse": 20.0}, "pm10": {"r2": 0.5, "rmse": 45.0}}
================================================================================================
pollutant  window                            pass  marg  fail total
10825 Gurugram (Sector 51)       NO2    fold_1_stubble_oct_nov_2025          4.06   -0.056     4.13
10820 Faridabad (Sector 30)      NO2    fold_1_stubble_oct_nov_2025          2.15   -0.055     2.95
  235 Anand Vihar                NO2    fold_3                              28.71   -0.046    30.39
 6980 Noida Sector 1             NO2    holdout_120d                        16.68   -0.040    17.64
 6978 Greater Noida (Knowledge P NO2    fold_1_stubble_oct_nov_2025         21.51   -0.032    18.63
 6934 Dr. Karni Singh Shooting R NO2    fold_3                              13.41   -0.027    13.76
 8472 Bawana                     NO2    fold_3                               7.31   -0.027     8.25
 8917 Ashok Vihar                NO2    holdout_120d                         7.48   -0.008     8.46
 5627 CRRI Mathura Road          NO2    fold_2                              12.35    0.001    13.76
 5665 Ghaziabad (Vasundhara)     NO2    fold_3                              16.76    0.007    16.98
10485 Narela                     NO2    holdout_120d                         5.05    0.009     5.20
 6931 Dwarka Sector 8            NO2    fold_3                              17.43    0.015    21.61
 5613 ITO                        NO2    fold_2                              23.39    0.023    23.39
 5586 Siri Fort                  NO2    fold_1_stubble_oct_nov_2025          6.92    0.024     6.92
 5616 Noida Sector 62            NO2    holdout_120d                        11.43    0.028    12.12
 7005 Ghaziabad (Loni)           NO2    fold_3                              14.89    0.042    13.06
10485 Narela                     NO2    fold_3                               7.26    0.042     8.06
 5610 Shadipur                   NO2    holdout_120d                        34.02    0.048    35.07
 8235 Jahangirpuri               NO2    holdout_120d                        13.59    0.067     9.86
 5613 ITO                        NO2    fold_1_stubble_oct_nov_2025         22.61    0.075    22.61
10908 Faridabad (Sector 11)      NO2    fold_1_stubble_oct_nov_2025          7.70    0.080     7.78
 6929 Major Dhyan Chand National NO2    holdout_120d                        11.69    0.097    12.96
10820 Faridabad (Sector 30)      NO2    holdout_120d                         3.90    0.098     3.83
10919 Ghaziabad (Sanjay Nagar)   NO2    fold_3                              33.70    0.117    48.99
 5665 Ghaziabad (Vasundhara)     NO2    holdout_120d                        13.73    0.127    15.21
 5586 Siri Fort                  NO2    fold_3                               4.35    0.130     3.92
 5586 Siri Fort                  NO2    fold_2                               9.25    0.155     9.25
10484 Sri Aurobindo Marg         NO2    fold_3                               8.07    0.156     9.20
 5650 IGI Airport (T3)           NO2    holdout_120d                        20.43    0.166    23.29
 5616 Noida Sector 62            NO2    fold_3                               4.46    0.169     4.79
 8915 Wazirpur                   NO2    fold_1_stubble_oct_nov_2025         15.65    0.173    15.65
 5598 Noida Sector 125           NO2    holdout_120d                        13.45    0.177    14.45
 5627 CRRI Mathura Road          NO2    fold_1_stubble_oct_nov_2025         12.68    0.194    14.37
 6929 Major Dhyan Chand National NO2    fold_3                              14.37    0.199    15.12
 6957 Jawaharlal Nehru Stadium   NO2    fold_3                              12.46    0.231    14.18
 6924 Ghaziabad (Indirapuram)    NO2    fold_3                              17.45    0.234    20.77
 8475 Sonia Vihar                NO2    fold_3                               8.14    0.236     8.84
 6931 Dwarka Sector 8            NO2    holdout_120d                         8.73    0.255    10.63
 8915 Wazirpur                   NO2    fold_2                              14.66    0.265    14.66
 5650 IGI Airport (T3)           NO2    fold_3                              16.45    0.272    16.68
 6924 Ghaziabad (Indirapuram)    NO2    fold_1_stubble_oct_nov_2025         15.08    0.275    17.61
 6988 Noida Sector 116           NO2    fold_3                              24.22    0.279    25.90
 6932 Alipur                     NO2    holdout_120d                        11.69    0.281    11.99
 6978 Greater Noida (Knowledge P NO2    fold_2                              20.72    0.307    19.99
10908 Faridabad (Sector 11)      NO2    fold_2                               5.63    0.310     5.66
 6932 Alipur                     NO2    fold_3                               8.60    0.311     9.70
 5610 Shadipur                   NO2    fold_3                              19.34    0.331    19.16
 6931 Dwarka Sector 8            NO2    fold_1_stubble_oct_nov_2025         15.15    0.332    15.25
 5616 Noida Sector 62            NO2    fold_2                              22.30    0.354    27.17
 6359 Vivek Vihar                NO2    holdout_120d                        12.36    0.379    10.80
 5598 Noida Sector 125           NO2    fold_3                              13.98    0.393    15.15
 6980 Noida Sector 1             NO2    fold_3                              21.99    0.400    24.01
 5598 Noida Sector 125           NO2    fold_1_stubble_oct_nov_2025         25.84    0.401    26.94
 6988 Noida Sector 116           NO2    fold_1_stubble_oct_nov_2025         24.65    0.410    37.52
 6358 Mandir Marg                NO2    holdout_120d                         7.93    0.422     9.12
 8917 Ashok Vihar                NO2    fold_3                              12.15    0.425    14.61
  301 Gurugram (Vikas Sadan)     NO2    fold_2                               6.35    0.426     4.93
 6929 Major Dhyan Chand National NO2    fold_1_stubble_oct_nov_2025         15.62    0.437    15.24
 6988 Noida Sector 116           NO2    fold_2                              24.42    0.438    36.56
 8365 Nehru Nagar                NO2    fold_1_stubble_oct_nov_2025         10.29    0.440    11.77
 6978 Greater Noida (Knowledge P NO2    fold_3                              18.01    0.450    25.89
 8365 Nehru Nagar                NO2    fold_3                               9.11    0.458     9.55
 7005 Ghaziabad (Loni)           NO2    holdout_120d                         8.68    0.464     9.22
 6934 Dr. Karni Singh Shooting R NO2    fold_1_stubble_oct_nov_2025         14.25    0.471    14.32
10488 Najafgarh                  NO2    fold_3                              17.24    0.483    17.00
 8475 Sonia Vihar                NO2    fold_1_stubble_oct_nov_2025          8.26    0.488     7.90
 5598 Noida Sector 125           NO2    fold_2                              22.17    0.491    23.38
10900 Gurugram (Teri Gram)       NO2    fold_2                              10.15    0.493    10.31
 5586 Siri Fort                  NO2    holdout_120d                         6.30    0.500     5.82
 8915 Wazirpur                   NO2    fold_3                              30.85    0.730    30.63
 5541 Burari Crossing            O3     holdout_120d                       122.81  -39.860    21.64
10485 Narela                     O3     holdout_120d                        32.14  -20.056     6.46
 8472 Bawana                     O3     holdout_120d                        18.95   -8.291     3.65
  301 Gurugram (Vikas Sadan)     O3     fold_3                               5.43   -4.883     3.13
   17 R K Puram                  O3     holdout_120d                        16.68   -3.809     9.77
 5616 Noida Sector 62            O3     holdout_120d                        52.08   -3.475    22.67
 8917 Ashok Vihar                O3     holdout_120d                        22.82   -3.154     5.79
10488 Najafgarh                  O3     holdout_120d                        14.55   -2.189     4.67
 5541 Burari Crossing            O3     fold_1_stubble_oct_nov_2025         20.77   -1.981    16.48
10825 Gurugram (Sector 51)       O3     holdout_120d                         9.15   -1.105     8.30
 5665 Ghaziabad (Vasundhara)     O3     fold_1_stubble_oct_nov_2025         19.45   -1.021    18.45
 6957 Jawaharlal Nehru Stadium   O3     holdout_120d                        14.45   -1.000     9.26
10908 Faridabad (Sector 11)      O3     fold_3                               0.68   -0.985     0.70
 5586 Siri Fort                  O3     fold_3                               5.23   -0.960     3.91
 6924 Ghaziabad (Indirapuram)    O3     holdout_120d                         9.32   -0.900     6.34
 6988 Noida Sector 116           O3     fold_1_stubble_oct_nov_2025         18.09   -0.825    18.09
 5613 ITO                        O3     holdout_120d                        14.89   -0.816    10.74
 5613 ITO                        O3     fold_1_stubble_oct_nov_2025         14.73   -0.810    13.10
 5626 DTU                        O3     fold_2                              20.49   -0.796    20.49
 5541 Burari Crossing            O3     fold_2                              21.01   -0.595    15.52
10900 Gurugram (Teri Gram)       O3     fold_1_stubble_oct_nov_2025         12.01   -0.587    11.97
10484 Sri Aurobindo Marg         O3     holdout_120d                        10.24   -0.575     6.96
10825 Gurugram (Sector 51)       O3     fold_1_stubble_oct_nov_2025         15.14   -0.570    15.38
 8365 Nehru Nagar                O3     holdout_120d                        14.18   -0.560     9.02
 5586 Siri Fort                  O3     holdout_120d                         6.76   -0.489     6.79
 5665 Ghaziabad (Vasundhara)     O3     fold_2                              18.61   -0.483    17.89
 6980 Noida Sector 1             O3     holdout_120d                        26.99   -0.442    21.98
 6988 Noida Sector 116           O3     fold_2                              18.16   -0.438    18.16
 5634 Lodhi Road                 O3     fold_3                              20.93   -0.409    16.75
10825 Gurugram (Sector 51)       O3     fold_2                              12.05   -0.392    12.26
   17 R K Puram                  O3     fold_3                              12.71   -0.380    12.45
 5650 IGI Airport (T3)           O3     holdout_120d                        20.33   -0.361    19.45
 6988 Noida Sector 116           O3     holdout_120d                        24.39   -0.345    23.78
 6932 Alipur                     O3     fold_3                               7.73   -0.331     8.75
 6359 Vivek Vihar                O3     holdout_120d                        19.14   -0.327    14.01
10831 Rohini                     O3     holdout_120d                         8.55   -0.321     5.13
10900 Gurugram (Teri Gram)       O3     fold_3                               6.07   -0.314     5.56
10900 Gurugram (Teri Gram)       O3     fold_2                               9.80   -0.308     9.05
10820 Faridabad (Sector 30)      O3     fold_1_stubble_oct_nov_2025          1.51   -0.277     1.93
 6924 Ghaziabad (Indirapuram)    O3     fold_1_stubble_oct_nov_2025         14.39   -0.264    17.32
 8365 Nehru Nagar                O3     fold_1_stubble_oct_nov_2025         14.10   -0.245    17.99
10485 Narela                     O3     fold_3                              13.61   -0.241    16.07
 7005 Ghaziabad (Loni)           O3     holdout_120d                        16.48   -0.240    12.29
 8472 Bawana                     O3     fold_3                              12.05   -0.229    14.70
10900 Gurugram (Teri Gram)       O3     holdout_120d                         8.37   -0.228     8.41
10820 Faridabad (Sector 30)      O3     fold_2                               1.69   -0.225     2.24
 5626 DTU                        O3     fold_1_stubble_oct_nov_2025          9.81   -0.218     9.81
 6932 Alipur                     O3     holdout_120d                         7.28   -0.212     4.72
 8915 Wazirpur                   O3     fold_1_stubble_oct_nov_2025         15.50   -0.201    18.04
   50 Punjabi Bagh               O3     fold_3                              13.48   -0.185    12.65
 6929 Major Dhyan Chand National O3     holdout_120d                         8.00   -0.171     7.12
 6929 Major Dhyan Chand National O3     fold_3                              14.23   -0.155    17.34
 5634 Lodhi Road                 O3     holdout_120d                        37.53   -0.138    36.17
 5613 ITO                        O3     fold_2                              18.71   -0.136    21.94
 5616 Noida Sector 62            O3     fold_1_stubble_oct_nov_2025         25.47   -0.132    28.99
 6358 Mandir Marg                O3     fold_3                              18.66   -0.132    22.26
 6929 Major Dhyan Chand National O3     fold_1_stubble_oct_nov_2025         16.75   -0.123    20.30
 6978 Greater Noida (Knowledge P O3     fold_1_stubble_oct_nov_2025         12.60   -0.117    13.83
   50 Punjabi Bagh               O3     holdout_120d                        13.65   -0.091    13.41
10919 Ghaziabad (Sanjay Nagar)   O3     holdout_120d                        18.18   -0.080    16.39
 6934 Dr. Karni Singh Shooting R O3     fold_3                              16.02   -0.060    18.90
10919 Ghaziabad (Sanjay Nagar)   O3     fold_1_stubble_oct_nov_2025         11.30   -0.049    13.81
 5616 Noida Sector 62            O3     fold_2                              34.40   -0.043    43.56
10820 Faridabad (Sector 30)      O3     fold_3                               5.62   -0.037     6.45
 8475 Sonia Vihar                O3     fold_3                              15.42   -0.036    19.09
10831 Rohini                     O3     fold_3                              17.33   -0.030    19.73
 8472 Bawana                     O3     fold_1_stubble_oct_nov_2025         10.98   -0.028    13.05
 6932 Alipur                     O3     fold_1_stubble_oct_nov_2025          5.56   -0.024     6.88
 5626 DTU                        O3     holdout_120d                         7.13   -0.020     7.01
 8917 Ashok Vihar                O3     fold_3                              11.03   -0.015    14.19
10820 Faridabad (Sector 30)      O3     holdout_120d                         8.54   -0.010     9.51
 8365 Nehru Nagar                O3     fold_2                              13.94   -0.002    17.17
 5586 Siri Fort                  O3     fold_2                               7.72    0.003     7.72
 6978 Greater Noida (Knowledge P O3     holdout_120d                        19.03    0.004    17.08
10484 Sri Aurobindo Marg         O3     fold_3                              14.38    0.015    17.05
 5626 DTU                        O3     fold_3                               6.68    0.018     6.61
 8475 Sonia Vihar                O3     holdout_120d                        13.72    0.020    12.90
 6931 Dwarka Sector 8            O3     fold_1_stubble_oct_nov_2025         11.17    0.021    13.71
 5610 Shadipur                   O3     fold_3                              24.78    0.023    27.46
10908 Faridabad (Sector 11)      O3     holdout_120d                         3.05    0.031     3.61
 5610 Shadipur                   O3     holdout_120d                        15.60    0.042    18.75
 8915 Wazirpur                   O3     fold_2                              14.86    0.045    17.04
10484 Sri Aurobindo Marg         O3     fold_1_stubble_oct_nov_2025          8.04    0.047     9.83
 8917 Ashok Vihar                O3     fold_1_stubble_oct_nov_2025         10.08    0.058    12.32
 6988 Noida Sector 116           O3     fold_3                              21.11    0.060    21.17
10485 Narela                     O3     fold_1_stubble_oct_nov_2025         13.79    0.075    16.43
  235 Anand Vihar                O3     fold_3                               7.77    0.113     8.69
 6358 Mandir Marg                O3     fold_1_stubble_oct_nov_2025         11.81    0.124    13.81
 8915 Wazirpur                   O3     fold_3                              13.55    0.125    14.98
 5586 Siri Fort                  O3     fold_1_stubble_oct_nov_2025          3.60    0.127     3.60
10484 Sri Aurobindo Marg         O3     fold_2                               9.35    0.145     9.61
 6934 Dr. Karni Singh Shooting R O3     fold_1_stubble_oct_nov_2025         10.53    0.153    12.05
 5541 Burari Crossing            O3     fold_3                              59.62    0.160    60.64
 6957 Jawaharlal Nehru Stadium   O3     fold_3                              15.83    0.164    19.82
 8475 Sonia Vihar                O3     fold_1_stubble_oct_nov_2025         13.05    0.173    15.66
 6931 Dwarka Sector 8            O3     fold_2                              11.15    0.177    13.91
10919 Ghaziabad (Sanjay Nagar)   O3     fold_2                              10.76    0.190    12.17
  301 Gurugram (Vikas Sadan)     O3     holdout_120d                         7.36    0.201     7.29
 5627 CRRI Mathura Road          O3     holdout_120d                        11.41    0.205    12.38
 8235 Jahangirpuri               O3     fold_3                              13.27    0.220    14.84
 8365 Nehru Nagar                O3     fold_3                              15.03    0.235    16.81
 8475 Sonia Vihar                O3     fold_2                              12.63    0.247    14.98
  235 Anand Vihar                O3     holdout_120d                         6.73    0.251     6.38
 8917 Ashok Vihar                O3     fold_2                              10.09    0.255    11.30
 6931 Dwarka Sector 8            O3     fold_3                              14.71    0.260    16.24
 6934 Dr. Karni Singh Shooting R O3     fold_2                              12.24    0.263    13.43
 6358 Mandir Marg                O3     holdout_120d                        10.32    0.264     9.44
 6978 Greater Noida (Knowledge P O3     fold_2                              11.16    0.265    12.01
10908 Faridabad (Sector 11)      O3     fold_1_stubble_oct_nov_2025         11.43    0.276    11.60
 6932 Alipur                     O3     fold_2                               5.49    0.287     6.53
 6929 Major Dhyan Chand National O3     fold_2                              14.14    0.301    16.75
 5627 CRRI Mathura Road          O3     fold_1_stubble_oct_nov_2025         13.14    0.302    13.63
 5598 Noida Sector 125           O3     fold_2                              13.01    0.313    14.36
 6359 Vivek Vihar                O3     fold_3                              12.86    0.316    19.24
 5627 CRRI Mathura Road          O3     fold_2                              14.35    0.318    16.11
 5650 IGI Airport (T3)           O3     fold_3                              11.96    0.320    11.35
 5627 CRRI Mathura Road          O3     fold_3                              13.75    0.323    15.90
 5598 Noida Sector 125           O3     fold_1_stubble_oct_nov_2025         15.12    0.332    17.15
 6978 Greater Noida (Knowledge P O3     fold_3                              11.73    0.336    15.38
10488 Najafgarh                  O3     fold_3                              16.29    0.339    20.96
 6931 Dwarka Sector 8            O3     holdout_120d                         9.26    0.340     6.48
 6924 Ghaziabad (Indirapuram)    O3     fold_2                              12.82    0.371    14.77
 5613 ITO                        O3     fold_3                              12.50    0.374    13.07
 8915 Wazirpur                   O3     holdout_120d                         7.13    0.385     5.56
 6358 Mandir Marg                O3     fold_2                              11.38    0.394    13.04
 7005 Ghaziabad (Loni)           O3     fold_3                              13.96    0.400    16.74
 6924 Ghaziabad (Indirapuram)    O3     fold_3                              11.13    0.406    10.63
 8472 Bawana                     O3     fold_2                              10.27    0.412    11.86
10485 Narela                     O3     fold_2                              12.88    0.415    15.31
 5665 Ghaziabad (Vasundhara)     O3     holdout_120d                        16.07    0.418    17.09
10908 Faridabad (Sector 11)      O3     fold_2                               8.27    0.437     8.35
 8235 Jahangirpuri               O3     holdout_120d                         6.76    0.455     6.16
 5650 IGI Airport (T3)           O3     fold_1_stubble_oct_nov_2025          9.44    0.474     9.44
  301 Gurugram (Vikas Sadan)     O3     fold_2                               7.95    0.496     6.14
10900 Gurugram (Teri Gram)       PM10   holdout_120d                       260.35  -22.450    61.45
10820 Faridabad (Sector 30)      PM10   fold_3                              49.39   -0.904    34.19
 6359 Vivek Vihar                PM10   holdout_120d                        70.29   -0.612    60.10
 5613 ITO                        PM10   holdout_120d                        50.09   -0.493    48.32
 5586 Siri Fort                  PM10   holdout_120d                        73.17   -0.470    57.34
 6988 Noida Sector 116           PM10   holdout_120d                       138.88   -0.404   148.29
 8915 Wazirpur                   PM10   holdout_120d                       102.20   -0.335   104.49
  301 Gurugram (Vikas Sadan)     PM10   holdout_120d                        81.75   -0.329    69.83
 8365 Nehru Nagar                PM10   holdout_120d                        72.00   -0.295    62.81
 5626 DTU                        PM10   fold_3                              70.38   -0.207    73.70
 6932 Alipur                     PM10   holdout_120d                        88.55   -0.198    93.89
 8475 Sonia Vihar                PM10   holdout_120d                        75.77   -0.184    70.96
10484 Sri Aurobindo Marg         PM10   holdout_120d                        61.15   -0.148    55.07
 5665 Ghaziabad (Vasundhara)     PM10   fold_3                              91.83   -0.106    86.06
 5541 Burari Crossing            PM10   holdout_120d                       103.32   -0.100   116.39
 6931 Dwarka Sector 8            PM10   fold_3                              90.78   -0.096   104.63
 6358 Mandir Marg                PM10   holdout_120d                       126.16   -0.093   153.18
10919 Ghaziabad (Sanjay Nagar)   PM10   fold_1_stubble_oct_nov_2025        118.92   -0.092    71.46
 5598 Noida Sector 125           PM10   holdout_120d                        80.81   -0.059    80.14
 8472 Bawana                     PM10   fold_3                              71.04   -0.043    75.68
 5598 Noida Sector 125           PM10   fold_3                              87.58   -0.037   116.44
 8917 Ashok Vihar                PM10   holdout_120d                        69.24   -0.020    68.50
 6978 Greater Noida (Knowledge P PM10   fold_3                              70.46   -0.011    76.04
 8235 Jahangirpuri               PM10   holdout_120d                        83.43   -0.009    78.43
 5665 Ghaziabad (Vasundhara)     PM10   holdout_120d                        80.17    0.009    85.97
   50 Punjabi Bagh               PM10   holdout_120d                       115.46    0.010   149.37
10825 Gurugram (Sector 51)       PM10   holdout_120d                        60.92    0.013    59.18
10825 Gurugram (Sector 51)       PM10   fold_1_stubble_oct_nov_2025        284.09    0.014   421.76
 5598 Noida Sector 125           PM10   fold_1_stubble_oct_nov_2025        246.57    0.023   297.86
10900 Gurugram (Teri Gram)       PM10   fold_3                            1776.94    0.024  2639.79
 5610 Shadipur                   PM10   holdout_120d                       104.78    0.027   129.45
 5634 Lodhi Road                 PM10   holdout_120d                        76.77    0.029    91.08
 6957 Jawaharlal Nehru Stadium   PM10   holdout_120d                        67.92    0.032    60.81
   17 R K Puram                  PM10   holdout_120d                        95.20    0.035   113.34
   17 R K Puram                  PM10   fold_3                              75.03    0.037    86.44
 6931 Dwarka Sector 8            PM10   holdout_120d                        79.31    0.041    85.01
 5627 CRRI Mathura Road          PM10   fold_1_stubble_oct_nov_2025      143887728909.46    0.042 209573489226.50
 8472 Bawana                     PM10   holdout_120d                       121.36    0.043   159.08
 5650 IGI Airport (T3)           PM10   holdout_120d                        57.14    0.045    56.93
 5616 Noida Sector 62            PM10   fold_3                              64.16    0.046    73.36
 5627 CRRI Mathura Road          PM10   fold_2                           335279284702.70    0.049 489573057631.41
10900 Gurugram (Teri Gram)       PM10   fold_1_stubble_oct_nov_2025       8698.27    0.049 12915.51
 7005 Ghaziabad (Loni)           PM10   holdout_120d                       105.82    0.050   101.37
 5627 CRRI Mathura Road          PM10   fold_3                           104186263589.53    0.052 153302358355.43
10831 Rohini                     PM10   holdout_120d                        71.92    0.054    75.53
 8475 Sonia Vihar                PM10   fold_3                              73.19    0.070    96.89
10825 Gurugram (Sector 51)       PM10   fold_2                             506.82    0.072   759.84
10900 Gurugram (Teri Gram)       PM10   fold_2                            6299.91    0.074  9296.50
 6924 Ghaziabad (Indirapuram)    PM10   holdout_120d                       119.36    0.081   144.72
10485 Narela                     PM10   fold_3                              70.98    0.097    88.07
10484 Sri Aurobindo Marg         PM10   fold_3                              49.43    0.100    68.90
  235 Anand Vihar                PM10   fold_3                              84.00    0.113    99.17
  235 Anand Vihar                PM10   holdout_120d                       153.85    0.116   187.18
10919 Ghaziabad (Sanjay Nagar)   PM10   fold_2                             193.19    0.116   265.95
 6988 Noida Sector 116           PM10   fold_3                              72.19    0.119    93.69
 5598 Noida Sector 125           PM10   fold_2                             220.34    0.121   278.79
10919 Ghaziabad (Sanjay Nagar)   PM10   holdout_120d                        85.42    0.130    80.98
 5650 IGI Airport (T3)           PM10   fold_3                              61.71    0.134    75.23
 6980 Noida Sector 1             PM10   fold_3                              63.61    0.135    77.34
 7005 Ghaziabad (Loni)           PM10   fold_3                              92.19    0.141   104.80
 5634 Lodhi Road                 PM10   fold_3                              56.36    0.143    79.55
 6929 Major Dhyan Chand National PM10   fold_3                              55.65    0.144    73.33
10908 Faridabad (Sector 11)      PM10   holdout_120d                        60.93    0.155    70.73
10919 Ghaziabad (Sanjay Nagar)   PM10   fold_3                             143.48    0.159   219.88
 5627 CRRI Mathura Road          PM10   holdout_120d                        72.47    0.177    76.08
  301 Gurugram (Vikas Sadan)     PM10   fold_1_stubble_oct_nov_2025        295.09    0.181   470.18
 5610 Shadipur                   PM10   fold_3                              65.74    0.182    83.07
 8235 Jahangirpuri               PM10   fold_3                              73.22    0.182    90.50
 8915 Wazirpur                   PM10   fold_3                              85.79    0.184   105.60
10488 Najafgarh                  PM10   holdout_120d                        56.90    0.189    67.64
   50 Punjabi Bagh               PM10   fold_3                              75.69    0.191    90.13
 6934 Dr. Karni Singh Shooting R PM10   holdout_120d                        65.59    0.192    64.00
 6980 Noida Sector 1             PM10   holdout_120d                        71.81    0.192    60.03
  301 Gurugram (Vikas Sadan)     PM10   fold_2                             229.75    0.197   365.46
 6957 Jawaharlal Nehru Stadium   PM10   fold_3                              69.01    0.198    87.92
 5650 IGI Airport (T3)           PM10   fold_1_stubble_oct_nov_2025        107.27    0.198   122.75
10488 Najafgarh                  PM10   fold_3                              50.73    0.204    71.92
 7005 Ghaziabad (Loni)           PM10   fold_1_stubble_oct_nov_2025        128.41    0.208   105.86
 6924 Ghaziabad (Indirapuram)    PM10   fold_3                              83.61    0.224   102.72
 6924 Ghaziabad (Indirapuram)    PM10   fold_1_stubble_oct_nov_2025        301.67    0.229   351.46
 6358 Mandir Marg                PM10   fold_3                              45.43    0.242    61.84
 8365 Nehru Nagar                PM10   fold_3                              64.32    0.246    86.62
 6934 Dr. Karni Singh Shooting R PM10   fold_3                              59.55    0.246    77.62
10831 Rohini                     PM10   fold_3                              87.98    0.247   114.81
 5626 DTU                        PM10   holdout_120d                        48.31    0.254    57.50
10908 Faridabad (Sector 11)      PM10   fold_2                             502.91    0.263   615.84
10908 Faridabad (Sector 11)      PM10   fold_3                              90.15    0.263   108.43
 5613 ITO                        PM10   fold_3                              53.46    0.265    73.12
 6932 Alipur                     PM10   fold_3                              74.00    0.268    96.62
 6931 Dwarka Sector 8            PM10   fold_1_stubble_oct_nov_2025        114.75    0.272   139.27
 6924 Ghaziabad (Indirapuram)    PM10   fold_2                             234.72    0.274   272.87
10908 Faridabad (Sector 11)      PM10   fold_1_stubble_oct_nov_2025        636.18    0.281   786.74
